"claim_id","claim_text","section","evidence_source","mathematical_scope","formation_model","continuous_or_discrete","exact_or_heuristic","grid","bound_type","external_validity","status","required_wording"
"C1","path-integrated objective is load-bearing","Path-integrated Formation Maneuver","research/results/b2 (1089 rollouts; Kendall tau 0.14-0.62)","tested plan sets","theory_general (gradient-free trajectory rollouts)","discrete plan library","exact LP per cell","n/a","none","not claimed external","KEEP","best position is not the best trajectory, within the tested plan spaces"
"C2","symmetric closed-loop degeneracy V=L","Structural Properties of the Closed-Loop Game","research/results/e02 + b3 + Proposition 1 proof","stated assumptions (A1)-(A2)","theory_general","both (proof; discrete DP)","exact (proof) and converged DP","n/a","analytic","not claimed external","KEEP","under the stated exchange-symmetry assumptions; not tied to a rigid formation"
"C3","speed-capability monotonicity","Structural Properties of the Closed-Loop Game","research/results/b4 (8/8) + Proposition 2 proof","nested admissible policy sets","theory_general","continuous","exact (proof)","n/a","analytic","not claimed external","KEEP","capability expansion; leader speed bounds are nested under path following"
"C4","formation exposure aggregates over vessel pairs","General Formation Game","Proposition 3 proof","general formation map","theory_general","continuous","exact (proof)","n/a","analytic","not claimed external","KEEP","for any formation map G_ik"
"C5","commitment-range comparative statics: sign(P6)=sign(eta_r-1)","Open-Loop Commitment / Certification","research/final_v10/commitment_lf_exact/lf_grid5_results.csv and lf_grid7_results.csv","frozen discretized open-loop game at H=6","leader_follower","discrete (Grid-5 5^6 and Grid-7 7^6)","EXACT (exhaustive full-space best responses; valid bounds)","Grid-5 and Grid-7","equilibrium lower/upper bounds","not claimed external","LF-CORE-STRONG","within the discretized formation game under the leader-follower instantiation; sign stable under action-grid refinement"
"C5b","the certified sign is identical under the rigid baseline","Formation Representation Robustness","research/final_v10/commitment_lf_exact/rigid_vs_lf_exact.csv (18/18 sign match)","same cells, two formation maps","rigid vs leader_follower","discrete","EXACT (same certification)","Grid-5","equilibrium lower/upper bounds","not claimed external","KEEP","18/18 sign match; per-cell magnitudes within about 8%"
"C5c","rigid-vs-LF bridge: rank agreement is high","Formation Representation Robustness","research/final_v10/bridge/bridge_cells.csv (9/9 sign, tau=0.94)","9 pre-specified cells","rigid vs leader_follower","discrete","EXACT (same certification on both maps)","Grid-5","bounds","not claimed external","KEEP","9/9 sign agreement, Kendall tau 0.94, median magnitude distortion 8%"
"C5d","symmetric control cells reproduce the degeneracy exactly","Open-Loop Commitment","research/final_v9/commitment_exact/exact_grid5_sanity_results.csv","head-on and crossing at eta_r=eta_v=1","rigid baseline (frozen v9)","discrete","EXACT (LB=UB)","Grid-5","LB=UB","not claimed external","KEEP","head-on and crossing collapse to zero; the parallel configuration is not exchange-symmetric"
"C6","delayed threat contracts the near-optimal response set","Delayed Threats and Response-Space Contraction","research/results/b10 + b11 + b12 + research/final_v10/torpedo_sensitivity","tested threat regimes; both formation maps","rigid and leader_follower","discrete (engine and model rollouts)","exact enumeration over response sets","n/a","response-set cardinality","engine-internal","KEEP","coverage + intensity + landscape jointly; coverage alone does not change contraction in either representation"
"C7","no guaranteed favorable state in open water","Reachability and Viability","research/results/b6","unconstrained disengagement","rigid baseline (frozen v9)","continuous","rollout sweep (converged per cell)","n/a","worst-case retention ratio","engine-internal","KEEP","under unconstrained disengagement in the tested capability ratios"
"C8","cross-policy engine ordering transfer","External Engine Case Study","research/results/b13/games.csv","geometry policy vs doctrine baselines","engine","discrete (engine)","rollout with 100 paired seeds","n/a","paired bootstrap CI","PARTIAL (ordering only)","NARROW","rank ordering preserved; strict sign agreement in two of three geometries"
"C9","matched engine point-value transfer","External Engine Case Study","research/results/final_v7/must2_results.json","matched 2x2 same-policy design","engine","discrete (engine)","rollout with 4800 CRN-paired games","n/a","paired bootstrap CI","FAIL -> external case study","REMOVE","partial and non-monotonic transfer; case study, not validation"
"C10","the +5.14 head-on gap is a feedback advantage","n/a","research/results/b13/games.csv","none","engine","cross-policy comparison","not applicable","n/a","none","n/a","REMOVE","relabelled as a policy-class gap"
"C11","coverage beats damage (torpedo mechanism)","n/a","research/results/b12","none","theory_general","not applicable","not applicable","n/a","none","n/a","REMOVE","superseded by coverage + intensity + response landscape"
"C12","kernel is a decision-grade anisotropic surrogate","Naval Combat Instantiation","research/results/e01/kernel_fits.json","calibrated envelope","theory_general","continuous fit against discrete adjudication","interval-censored least squares","n/a","held-out Spearman","calibrated on engine semantics","KEEP","within the calibrated envelope; directionality removal reduces held-out rho from 0.991 to 0.952"
"C13","slow-plan-library commitment values are not converged","Robustness and Negative Results","research/results/b8","plan-library discretisation","rigid baseline","discrete library","exact LP but library-sensitive","n/a","none","not claimed external","KEEP","library-sensitive; values reported as intervals"
"C14","the reposition-cost trend is representation-dependent","Formation Representation Robustness","research/final_v10/reposition_sensitivity/reposition_cells.csv","three turn severities","rigid vs leader_follower","discrete","exact payoff (no solver)","n/a","none","not claimed external","NARROW","path-following numbers are reported; the rigid curve is retained only as a baseline note"
