pair_id,scenario,seed,turn,public_equal,own_state_equal,legal_actions_equal,reachable,hidden_commitment_only_difference,n_candidates_shared,q_ranking_confident,shared_action_regret,normalized_regret,normalized_regret_damage_diff,argmax_differs,control_a_max_diff,control
IBS-S-03_s1_t2_IBS-U-KM-KARL-GALSTER_1P4S-0_ctlB,IBS-S-03,1,2,True,True,True,True,True,4,False,0.0,0.0,0.0,False,0.0,B_distant_ship
IBS-S-03_s1_t4_IBS-U-KM-KARL-GALSTER_5-0_ctlB,IBS-S-03,1,4,True,True,True,True,True,3,False,0.0,0.0,0.0,False,0.0,B_distant_ship
IBS-S-03_s2_t2_IBS-U-KM-KARL-GALSTER_1S1P-0_ctlB,IBS-S-03,2,2,True,True,True,True,True,6,True,0.0,0.0,0.0,False,0.0,B_distant_ship
IBS-S-03_s2_t3_IBS-U-KM-KARL-GALSTER_2P2S-0_ctlB,IBS-S-03,2,3,True,True,True,True,True,3,False,0.0,0.0,0.0,False,0.0,B_distant_ship
IBS-S-03_s3_t3_IBS-U-KM-KARL-GALSTER_1PP2P1P-0_ctlB,IBS-S-03,3,3,True,True,True,True,True,6,True,0.0,0.0,0.022988505747126447,False,0.0,B_distant_ship
IBS-S-03_s3_t4_IBS-U-KM-KARL-GALSTER_2S4P-0_ctlB,IBS-S-03,3,4,True,True,True,True,True,3,False,0.0,0.0,0.0,False,0.0,B_distant_ship
IBS-S-03_s4_t2_IBS-U-KM-KARL-GALSTER_1P1P1P1P-0_ctlB,IBS-S-03,4,2,True,True,True,True,True,6,False,0.0,0.0,1.0,True,0.0,B_distant_ship
IBS-S-03_s4_t3_IBS-U-KM-HANS-LODY_1S3S-0_ctlB,IBS-S-03,4,3,True,True,True,True,True,6,False,0.0,0.0,0.28947368421052627,False,0.0,B_distant_ship
IBS-S-03_s4_t4_IBS-U-KM-HANS-LODY_3P1P-0_ctlB,IBS-S-03,4,4,True,True,True,True,True,3,False,0.0,0.0,0.0,False,0.0,B_distant_ship
IBS-S-03_s5_t2_IBS-U-KM-KARL-GALSTER_1SS4-0_ctlB,IBS-S-03,5,2,True,True,True,True,True,6,False,0.0,0.0,0.016666666666666607,False,0.0,B_distant_ship
IBS-S-03_s5_t3_IBS-U-KM-KARL-GALSTER_1PP1P2P-1S1S4P_ctlB,IBS-S-03,5,3,True,True,True,True,True,5,False,0.0,0.0,0.0,False,0.0,B_distant_ship
IBS-S-03_s6_t2_IBS-U-KM-KARL-GALSTER_1PP2P1S1S-1S1S4P_ctlB,IBS-S-03,6,2,True,True,True,True,True,6,False,0.0,0.0,0.0,False,0.0,B_distant_ship
IBS-S-03_s6_t3_IBS-U-KM-HANS-LODY_2S1S-6P_ctlB,IBS-S-03,6,3,True,True,True,True,True,4,False,0.0,0.0,0.0,False,0.0,B_distant_ship
IBS-S-03_s7_t2_IBS-U-KM-RICHARD-BEITZEN_1S1S1S1S-0_ctlB,IBS-S-03,7,2,True,True,True,True,True,6,False,0.0,0.0,0.45000000000000007,False,0.0,B_distant_ship
IBS-S-03_s7_t4_IBS-U-KM-HANS-LODY_1PP1P1S-0_ctlB,IBS-S-03,7,4,True,True,True,True,True,3,True,0.0,0.0,0.0,False,0.0,B_distant_ship
IBS-S-03_s8_t2_IBS-U-KM-RICHARD-BEITZEN_1P1P-2P4P_ctlB,IBS-S-03,8,2,True,True,True,True,True,3,False,0.0,0.0,0.0,False,0.0,B_distant_ship
IBS-S-03_s8_t3_IBS-U-KM-RICHARD-BEITZEN_1P1S-0_ctlB,IBS-S-03,8,3,True,True,True,True,True,6,False,0.0,0.0,0.22222222222222235,False,0.0,B_distant_ship
IBS-S-03_s9_t2_IBS-U-KM-RICHARD-BEITZEN_1S2S3P-0_ctlB,IBS-S-03,9,2,True,True,True,True,True,3,True,0.0,0.0,0.0,False,0.0,B_distant_ship
IBS-S-03_s9_t4_IBS-U-KM-KARL-GALSTER_1P3-4P2S_ctlB,IBS-S-03,9,4,True,True,True,True,True,3,False,0.0,0.0,0.0,False,0.0,B_distant_ship
IBS-S-03_s10_t2_IBS-U-KM-KARL-GALSTER_1PP1P1-1S1S4P_ctlB,IBS-S-03,10,2,True,True,True,True,True,4,True,0.0,0.0,0.0,False,0.0,B_distant_ship
IBS-S-03_s10_t3_IBS-U-KM-RICHARD-BEITZEN_1P1P3P-0_ctlB,IBS-S-03,10,3,True,True,True,True,True,4,False,0.0,0.0,0.0,False,0.0,B_distant_ship
IBS-S-03_s10_t4_IBS-U-KM-KARL-GALSTER_1SS2-0_ctlB,IBS-S-03,10,4,True,True,True,True,True,3,False,0.0,0.0,0.0,False,0.0,B_distant_ship
IBS-S-03_s11_t3_IBS-U-KM-RICHARD-BEITZEN_3P3-1S1S4P_ctlB,IBS-S-03,11,3,True,True,True,True,True,3,False,0.0,0.0,0.0,False,0.0,B_distant_ship
IBS-S-03_s12_t3_IBS-U-KM-KARL-GALSTER_2S4-1SS1S3P_ctlB,IBS-S-03,12,3,True,True,True,True,True,6,False,0.0,0.0,0.0,False,0.0,B_distant_ship
IBS-S-01_s1_t4_IBS-U-IJN-HATSUYUKI_1SS1S3S-0_ctlB,IBS-S-01,1,4,True,True,True,True,True,6,False,0.06666666666666665,0.19999999999999996,0.26436781609195403,True,0.0,B_distant_ship
IBS-S-01_s2_t2_IBS-U-IJN-KINUGASA_1PP1P2P-0_ctlB,IBS-S-01,2,2,True,True,True,True,True,4,False,0.0,0.0,0.04716981132075469,True,0.0,B_distant_ship
IBS-S-01_s2_t3_IBS-U-IJN-KINUGASA_1P2P1S-0_ctlB,IBS-S-01,2,3,True,True,True,True,True,3,True,0.0,0.0,0.0,False,0.0,B_distant_ship
IBS-S-01_s2_t4_IBS-U-IJN-KINUGASA_1P1P4-0_ctlB,IBS-S-01,2,4,True,True,True,True,True,3,False,0.06666666666666665,0.4999999999999996,0.0,True,0.0,B_distant_ship
IBS-S-01_s3_t2_IBS-U-IJN-KINUGASA_1P1S1S-0_ctlB,IBS-S-01,3,2,True,True,True,True,True,4,False,0.06666666666666665,0.2499999999999999,0.14000000000000004,True,0.0,B_distant_ship
IBS-S-01_s3_t4_IBS-U-IJN-FURUTAKA_4S1-0_ctlB,IBS-S-01,3,4,True,True,True,True,True,5,False,0.0,0.0,0.025641025641025633,False,0.0,B_distant_ship
IBS-S-01_s4_t3_IBS-U-IJN-KINUGASA_4S1P-0_ctlB,IBS-S-01,4,3,True,True,True,True,True,6,True,0.1333333333333333,0.28571428571428564,0.09302325581395351,True,0.0,B_distant_ship
