claim_id,claim_text,section,evidence,proof_or_experiment,assumptions,convergence_status,external_validity,status,required_wording
C1,path-integrated objective is load-bearing (snapshot/peak reorder plans),Path-integrated Formation Maneuver,b2 snapshot_vs_integral + example_AB (1089 rollouts; Kendall tau 0.14-0.62; peak 2.88 vs integral 5.02),paired rollouts over identical plan sets,E01-calibrated kernel; finite plan sets,exact per-cell,not claimed external,KEEP,"in the tested plan spaces; integral is the primitive"
C2,symmetric closed-loop degeneracy V=L,Structural Properties of the Closed-Loop Game,e02 degeneracy_check (max|V-L|=0 on 2 grids; exchange error 0) + b3 assumption matrix,Proposition 1 with complete proof (skew successor matrix + contraction),state-only stage payoff; skew successor matrix; common simplex,machine precision + DP converged,boundary measured (Table b3),KEEP,"under the tested symmetric closed-loop conditions"
C3,speed-capability monotonicity,Structural Properties of the Closed-Loop Game,b4 8/8 cells monotone,Proposition 2 with proof (nested policy sets),capability (not operating-speed) semantics,exact per-cell,not claimed external,KEEP,"nested capability semantics only"
C4,formation exposure is additive over vessel pairs,General Formation Game,definitional,Proposition 3 with proof (linearity),rigid formation offsets,exact,not claimed external,KEEP,"rigid formations"
C5,commitment-range comparative statics: longer commitment helps the range-advantaged formation and hurts the range-disadvantaged one,Open-Loop Commitment / Certification,final_v8/commitment/certification_results.csv (18/18 asymmetric cells sign-certified; 0 reversals) + mirror_validation.csv (mirror-symmetry flip reproduced),formation-level Double Oracle with 3-stage enhanced best responses (Sobol global starts; L-BFGS-B/Powell/Nelder-Mead polish) + equilibrium-bound intervals + mirror check,open-loop plans; formation reference-state game; oracle bounds valid up to BR search quality,"every cell sign-certified but value-not-tight (no cell meets the 5% bound gate); K in {3,4,6} leaves signs invariant",not claimed external (engine transfer fails),KEEP CORE,"""in the tested formation game""; certified sign per cell with interval notation; no universal-law wording"
C6,delayed threat contracts near-optimal response set (threshold+coverage+landscape),Delayed Threats and Response-Space Contraction,b10 time_dependence (40-42% future mass) + b11 contraction.csv + b12 matched-lethality,engine rollouts + response-set enumeration,torpedo field state; eps-response sets,216/72 samples; 8/8 cells,engine-internal,KEEP,"in the tested threat regimes; not coverage alone"
C7,no guaranteed favorable state in open water,Reachability and Viability,b6 report (retention ratio <=0.07; median 0-3%),adversarial rollout sweep,free disengagement; tested capability ratios,converged per cell,engine-internal,KEEP,"under unconstrained disengagement; not universal impossibility"
C8,cross-policy engine ordering transfer,External Engine Case Study,b13 games.csv (rho=1.00 ordering; strict sign 2/3),100-seed paired rollouts,geometry policy vs doctrine baselines,100 seeds/cell,PARTIAL (ordering yes; strict sign no),NARROW,"cross-policy comparison; ordering only"
C9,matched engine point-value transfer,External Engine Case Study,final_v7/must2_results.json (sign 75%; rho -0.083; ordering 63%),4800 CRN-paired games; pre-specified gates,matched policy class; 3v3 formation scenarios,gates evaluated,FAIL -> case study positioning,REMOVE (as validation),"partial and non-monotonic transfer; boundary of the reduced model"
C10,+5.14 head-on gap is a feedback advantage,-,b13 table,cross-policy comparison (confounded),none,n/a,n/a,REMOVE,"relabelled policy-class gap"
C11,coverage beats damage (torpedo mechanism),-,b12 matched-lethality negative result,negative experiment,n/a,n/a,n/a,REMOVE,"superseded by coverage+intensity+response landscape"
C12,kernel is an anisotropic decision-grade surrogate of engine adjudication,Naval Combat Instantiation,e01 kernel_fits.json (rho 0.9912; nMAE 5.7%; isotropic ablation rho 0.952),interval-censored least squares vs engine adjudication,fire-at-pre-move-geometry semantics,fitted to convergence,calibrated on engine; transfer limited to same semantics,KEEP,"within the calibrated envelope"
