claim_id,location,claim_type,claim_summary,evidence_ids,support_level,alignment_issue,limitation,requested_action
V14-MODEL,Model equations1-3,methods,Finite history payoff preserves executed trajectory and directional boundaries,MODEL-SOURCE;FROZEN-PAYOFF;MICRO-MODEL-TEST,supported,none,Finite deterministic surrogate; no physical validation,
V14-INCLUSION,Theory calendar inclusion,methods,Additional own public updates cannot reduce value for a fixed opponent class,PROOF-INCLUSION;MICRO-INCLUSION,supported,none,Does not compare changed speeds or opposing classes,
V14-SUBMOD,Theory complementary opportunities,methods,The update-calendar set function need not be submodular,PROOF-PRODUCT;MICRO-PRODUCT,supported,none,General finite-game counterexample; physical instances checked separately,
V14-RESET,Supplement S6,methods,Product reset games with component policy sets have modular calendar values,PROOF-RESET,supported,none,Formation history does not meet the product assumptions,
V14-CUT,Theory common updates,methods,Only common-update prefix cuts preserve the stated sealed-block game,PROOF-CUT;MICRO-DECOMPOSITION,supported,none,No unresolved private suffix may cross a cut,
V14-PRICING,Theory complete response,methods,Sum-before-max pricing solves the entire permitted causal response problem,PROOF-PRICING;MICRO-RESPONSE,supported,none,Exponential terminal history matrix retained,
V14-TRANSFER,Theory opponent policy reuse,methods,Feasible opponent response policies give upper bounds across own calendars,PROOF-TRANSFER;MICRO-RESPONSE,supported,none,Opponent calendar and legal action menu must stay fixed,
V14-DELETION,Theory deletion certificate,methods,Explicit feasible behavioral coarsening gives a complete-response loss upper bound,PROOF-DELETION;MICRO-COARSENING,supported,none,May be loose; state-independent menu assumption,
V14-SEARCH,Algorithm calendar search,methods,Valid node bounds and complete terminal coverage yield an optimality interval,PROOF-SEARCH;MICRO-SEARCH,supported,none,No universal speedup or polynomial complexity,
V14-NUMERIC,Algorithm numeric scope,methods,Floating-point strategy intervals are separate from mathematical proofs,NUMERIC-PROTOCOL;MICRO-INTERVAL,supported,none,No directed-rounding certification,
V14-SYMMETRY,Theory correct symmetry,methods,Exchange oddness implies zero only at a matching exchange-fixed state and class,PROOF-SYMMETRY;MICRO-MIRROR,supported,none,Independent physical mirror results still accumulate,
V14-CALIBRATION,Model foundation,secondary_outcome,The frozen CA kernel reproduces the archived CA rule-grid test metrics,CALIBRATION-REPLAY,supported,none,Exporter-order class reconstruction; not new engine ground truth,
V14-FRONTIER,Results forthcoming,primary_outcome,Budget frontiers identify calendar performance on the frozen test,DESIGN-FREEZE,not_assessed,none,Full frozen test not run yet,Fill from complete value intervals including unresolved cases
V14-LOSS-UTILITY,Results forthcoming,secondary_outcome,Deletion bounds give useful guarantees before a coarse equilibrium solve,,not_assessed,none,Full loss experiment pending,Measure tightness and time on all declared calendars
V14-SPEEDUP,Results forthcoming,secondary_outcome,Response-bound pruning reduces complete-frontier computation,,not_assessed,none,Cold runs and trace accounting not yet available,Report the full distributions including slowdowns and failures
V14-ROBUST,Results forthcoming,generalization,Finite benchmark conclusions survive the declared horizon and model variations,DESIGN-FREEZE,not_assessed,none,Robustness and ablation stages pending,Report differences and limits without assuming a positive result
V14-DECISION,Decision section forthcoming,primary_outcome,Retention thresholds yield certified minimal update budgets and replayable policies,,not_assessed,none,Recovered micro policies do not replace complete decision experiments,Validate all frozen decisions and policy gaps
V14-NOVELTY,Introduction forthcoming,other,The specialized calendar method supplies an increment over closest work,LITERATURE-AUDIT,partly_supported,scope,Standard components are established; practical increment pending,Condition final contribution wording on theory and full computational evidence
