experiment_id,layer,gate,hypothesis,git_commit,scenario,mode,snapshot_set,method,primary_metric,result,verdict,artifact,notes
M21R-U1-001,-,repair,U1 matches the frozen definition,research/m2-1-platform-audit (M2.1-R),-,-,-,unit tests x4,exact agreement,4/4 pass (zero / enemy-sunk>0 / own-sunk<0 / symmetric=0),PASS,scripts/repair/test_value_panel.py,old impl used remaining-hull VP + dynamic denominator
M21R-SEED-002,-,repair,"replicates are disjoint streams, arms matched",research/m2-1-platform-audit (M2.1-R),-,-,-,sha256(snapshot|replicate) -> state.seed re-key; counter untouched,stream independence,implemented; matched-seed at seed level; CRN language still banned,PASS,scripts/repair/evaluator.py,replaces rng_counter offsets
M21R-GUNFIX-003,gunnery,repair,both sides submit+seal before simultaneous resolve,research/m2-1-platform-audit (M2.1-R),-,classic,-,pipeline fix + probe,focal and opponent batches sealed,fixed: opponent submit_orders called; hold P0=0.0 vs fire P0=0.0978 measurable,PASS,scripts/repair/evaluator.py,original E0 branch never submitted opponent batch
M21R-CHK-004,-,repair,P0/T0/T1/T2/Terminal checkpoints exact,research/m2-1-platform-audit (M2.1-R),-,-,-,phase-machine-exact boundaries,checkpoint hit rates,implemented; h=0 no longer skips movement/torpedo resolution,PASS,scripts/repair/evaluator.py,
M21R-F9F10-005,-,repair,gold-case geometry and intents are expressed correctly,research/m2-1-platform-audit (M2.1-R),S-01,classic,s1 t2,probes,candidate distinctness; post-movement geometry,F9: single advance didn't move ships - fixed to advance to torpedo_effects; F10: heading off-by-one collapsed ALL intents - fixed; candidates now differ on 9/9 ships,FIXED,scripts/repair/intents.py; gold_cases.py,both found by inspection of identical-output anomalies
GOLD-GATE-006,movement,gold,5 expert tactical patterns separate >=0.05 at T2,research/m2-1-platform-audit (M2.1-R),S-01 (+S-03/EM search),classic,5 reachable states,intent candidates x E0/E3 (E2 not run for gold); repaired evaluator,separated cases >= 4 of 5,0/5 separated; magnitudes 0.003-0.033; G1 flips negative under E3; G2/G3/G4/G5 pro-tactical direction at T2 but 3-10x below gate; E3 compresses 2-4x,GOLD_EVALUATOR_GATE=FAIL,research/m2_1/STRATEGIC_GOLD_CASES.md,stopped per PI rule; no mass census
MG1-BROADSIDE-020,rules,mechanistic,broadside geometry yields more bearing GF/expected hits,research/m2-1-platform-audit (M2.1-R2),S-01 s1 t2,classic,1 movement snapshot,hold vs 60-degree turn; post-movement bearing; engine arcs + D66 expectation,available main-GF / expected hits improvement >= 25%,3 mounts vs 1; EH 3.00 vs 1.56 at common distance 4 => +92.9%,PASS,metrics/mg1_broadside.json,first-MF-straight forbids pure turns; hold-vs-turn pair used
MG2-CROSS-021,rules,mechanistic,crossing the T is priced by the rules,research/m2-1-platform-audit (M2.1-R2),S-01 s1 t2,classic,1 movement snapshot,beam-on vs parallel arms; both sides' usable GF and EH; longitudinal pairs,net exchange ratio >= 1.25x,own GF 651 vs enemy 486; net +41.6 vs +24.7 (1.68x); 64 longitudinal pairs,PASS,research/m2_1/metrics/mg_cases.json,PARALLEL has MORE raw GF — aspect is the story
MG3-RANGE-022,rules,mechanistic,range control is priced by the rules,research/m2-1-platform-audit (M2.1-R2),EM-01 s1 t2,classic,1 movement snapshot,close vs open steering for an allied BB,expected-hits gap >= 25%,2.56 vs 0.94 expected hits at d=15 vs d=17 (2.72x); penetration equal; torpedo-range metric gap recorded (F19),PASS,research/m2_1/metrics/mg_cases.json,
MG4-CORRIDOR-023,rules,mechanistic,real torpedo corridors constrain next-turn routes,research/m2-1-platform-audit (M2.1-R2),S-01 s1 t2,classic,29 victim routes per arm,real validated TorpedoOrders x 3 aiming schemes; route enumeration + resolution,RouteReduction >= 0.25 AND BR shift,RouteReduction 0.0; arms identical to 13 decimals — torpedoes did not survive to/reach T+1 routes,FAIL (CASE_CONSTRUCTION_FAIL),research/m2_1/metrics/mg_cases.json,torpedo persistence semantics need source study; not a rule bug claim
MG5-LOCAL-024,rules,mechanistic,local force superiority shows in EH margin,research/m2-1-platform-audit (M2.1-R2),EM-01 s1 t3,classic,1 movement snapshot,concentrate vs disperse steering; EH margin,margin ratio >= 1.25,DISPERSE better (82.7 vs 56.6) — gun ranges exceed fleet spacing; local superiority erased at this scale,FAIL (TACTICAL_ASSUMPTION_NOT_SUPPORTED),research/m2_1/metrics/mg_cases.json,
MG-GATE-025,-,mechanistic,>= 4 of 5 mechanistic cases separate,research/m2-1-platform-audit (M2.1-R2),-,-,-,count,PASS count,3/5,FAIL (3<4),06_MECHANISTIC_GOLD_GATE.md,stopped; Stage B/C not run; the new fact: rule engine prices geometry steeply — value realization is the suspect
R21-F21-030,meter,repair,legal allocation removes mount double counting,research/m2-1-platform-audit (M2.1-R2.1),-,-,-,per-mount single allocation + engine modifier grouping + kind split + visibility,batch validate_orders pass,all arms validate; MG2 ratio 1.68->1.56; MG5 unchanged order,FIXED,scripts/mg/legal_fire2.py,PI-identified defect; two further fidelity bugs found en route
MG2R-REPAIR-031,rules,mechanistic,cross-T shows legal-fire dominance,research/m2-1-platform-audit (M2.1-R2.1),S-01 s1 t2,classic,1 movement snapshot,beam-on vs parallel; legal allocation both sides; validated batches,4 conditions incl. raking >=50%,GF 165>61 yes; net +12.44 yes; ratio 1.56x yes; raking 0.44 NO,FAIL,research/m2_1/01_MG2_LEGAL_FIRE_REPAIR.md,"diagnostic: arm cannot occupy the raking position (compiler question), not a rules failure"
