"claim_id","claim_text","section","evidence_source","mathematical_scope","continuous_or_discrete","exact_or_heuristic","grid","bound_type","external_validity","status","required_wording"
"C1","path-integrated objective is load-bearing (snapshot/peak reorder plans)","Path-integrated Formation Maneuver","research/results/b2 (1089 rollouts; Kendall tau 0.14-0.62; peak 2.88 vs integral 5.02)","tested plan sets","discrete plan library","exact LP per cell","n/a (plan library)","none","not claimed external","KEEP","best position is not the best trajectory, within the tested plan spaces"
"C2","symmetric closed-loop degeneracy V=L","Structural Properties of the Closed-Loop Game","research/results/e02 (max|V-L|=0 on two grids) + b3 assumption matrix + Proposition 1 proof","stated assumptions (A1)-(A2)","both (proof; discrete DP numerics)","exact (proof) and converged DP","n/a","analytic","not claimed external","KEEP","under the stated exchange-symmetry assumptions (A1)-(A2); finite horizon by induction, infinite horizon by contraction"
"C3","speed-capability monotonicity","Structural Properties of the Closed-Loop Game","research/results/b4 (8/8 cells) + Proposition 2 proof","nested admissible policy sets","continuous","exact (proof)","n/a","analytic","not claimed external","KEEP","capability expansion (v in [0,vbar]); fixed operating speed excluded"
"C4","formation exposure is additive over vessel pairs","General Formation Game","Proposition 3 proof","rigid formations","continuous","exact (proof)","n/a","analytic","not claimed external","KEEP","rigid formations"
"C5","commitment-range comparative statics: sign(P6)=sign(eta_r-1)","Open-Loop Commitment","research/final_v9/commitment_exact/exact_grid5_results.csv and exact_grid7_results.csv","frozen discretized open-loop game at H=6","discrete (Grid-5 5^6 and Grid-7 7^6)","EXACT (exhaustive full-space best responses; valid equilibrium bounds)","Grid-5 and Grid-7","equilibrium lower/upper bounds (valid for the finite game)","not claimed external","CORE-STRONG","within the discretized formation game; sign stable under action-grid refinement; intervals flagged tight or loose"
"C5b","symmetric control cells reproduce the degeneracy exactly","Open-Loop Commitment","research/final_v9/commitment_exact/exact_grid5_sanity_results.csv","head-on and crossing at eta_r=eta_v=1","discrete","EXACT (lower bound equals upper bound)","Grid-5","LB=UB","not claimed external","KEEP","head-on and crossing collapse to zero; the parallel configuration is not exchange-symmetric so no zero prediction applies"
"C6","delayed threat contracts the near-optimal response set","Delayed Threats and Response-Space Contraction","research/results/b10 + b11 + b12","tested threat regimes","discrete (engine rollouts)","exact enumeration over response sets","n/a","response-set cardinality","engine-internal","KEEP","coverage plus local intensity plus value landscape jointly; not a thickness law"
"C7","no guaranteed favorable state in open water","Reachability and Viability","research/results/b6","unconstrained disengagement","continuous","rollout sweep (converged per cell)","n/a","worst-case retention ratio","engine-internal","KEEP","under unconstrained disengagement in the tested capability ratios"
"C8","cross-policy engine ordering transfer","External Engine Case Study","research/results/b13/games.csv","geometry policy vs doctrine baselines","discrete (engine)","rollout with 100 paired seeds","n/a","paired bootstrap CI","PARTIAL (ordering only)","NARROW","rank ordering preserved; strict sign agreement in two of three geometries"
"C9","matched engine point-value transfer","External Engine Case Study","research/results/final_v7/must2_results.json","matched 2x2 same-policy design","discrete (engine)","rollout with 4800 CRN-paired games","n/a","paired bootstrap CI","FAIL -> external case study","REMOVE","partial and non-monotonic transfer; reported as an external case study, not as validation"
"C10","the +5.14 head-on gap is a feedback advantage","n/a","research/results/b13/games.csv (cross-policy)","none","cross-policy comparison","not applicable","n/a","none","n/a","REMOVE","relabelled as a policy-class gap, not a value of replanning"
"C11","coverage beats damage (torpedo mechanism)","n/a","research/results/b12 (matched-lethality)","none","not applicable","not applicable","n/a","none","n/a","REMOVE","superseded by coverage plus intensity plus response landscape"
"C12","kernel is a decision-grade anisotropic surrogate of engine adjudication","Naval Combat Instantiation","research/results/e01/kernel_fits.json","calibrated envelope","continuous fit against discrete adjudication","interval-censored least squares (converged)","n/a","held-out Spearman rank correlation","calibrated on engine semantics","KEEP","within the calibrated envelope; removing directionality reduces held-out rho from 0.991 to 0.952"
"C13","slow-plan-library commitment values are not converged","Robustness and Negative Results","research/results/b8","plan-library discretisation","discrete library","exact LP but library-sensitive","n/a","none","not claimed external","KEEP","library-sensitive; values reported as intervals"
