plan,section,source_line,title,disposition,v14_tasks,evidence,note
v12,0,23,为什么 v11 还不能被解释成“Commitment 已被证伪”,已有证据完成,P02/P03,research/final_v13/v12_freeze/V12_FROZEN_CONCLUSIONS.md,保留已执行的模型审计/数学基础；纠正无条件对称性及闭环退化推论。
v12,1,90,目前代码中必须先修的两个具体问题,已有证据完成,P02/P03,research/final_v12/audit/PHASE_A_GATE.json; research/final_v12/freeze/AMENDMENT_03_CONTROL_PRECISION.md,原 Monte Carlo Gate 仍失败；确定性精确路线按事前修订执行，不能改称原 Gate 通过。
v12,2,267,Double Oracle 必须从“固定迭代数”改成“收敛驱动”,已有证据完成,P02/P03,research/final_v12/audit/PHASE_A_GATE.json; research/final_v12/freeze/AMENDMENT_03_CONTROL_PRECISION.md,原 Monte Carlo Gate 仍失败；确定性精确路线按事前修订执行，不能改称原 Gate 通过。
v12,3,336,将“统计误差”和“求解器误差”分开,已有证据完成,P02/P03,research/final_v12/audit/PHASE_A_GATE.json; research/final_v12/freeze/AMENDMENT_03_CONTROL_PRECISION.md,原 Monte Carlo Gate 仍失败；确定性精确路线按事前修订执行，不能改称原 Gate 通过。
v12,4,383,Phase A — Commitment Solver Audit,已有证据完成,P02/P03,research/final_v12/audit/PHASE_A_GATE.json; research/final_v12/freeze/AMENDMENT_03_CONTROL_PRECISION.md,原 Monte Carlo Gate 仍失败；确定性精确路线按事前修订执行，不能改称原 Gate 通过。
v12,5,547,Solver Audit Stop Gate,已有证据完成,P02/P03,research/final_v12/audit/PHASE_A_GATE.json; research/final_v12/freeze/AMENDMENT_03_CONTROL_PRECISION.md,原 Monte Carlo Gate 仍失败；确定性精确路线按事前修订执行，不能改称原 Gate 通过。
v12,6,578,Phase B — Exact Grid-3 Gold Standard,已有证据完成,P02/P03,research/final_v12/exact_grid3; research/final_v12/freeze/SCIENTIFIC_STOP.md,完整精确控制和六锚点已执行；进入 B2/D 分支，未复活 range 符号规律。
v12,7,609,Same-cadence exact block game,已有证据完成,P02/P03,research/final_v12/exact_grid3; research/final_v12/freeze/SCIENTIFIC_STOP.md,完整精确控制和六锚点已执行；进入 B2/D 分支，未复活 range 符号规律。
v12,8,668,Exact Grid-3 首先做 3 个 symmetric controls,已有证据完成,P02/P03,research/final_v12/exact_grid3; research/final_v12/freeze/SCIENTIFIC_STOP.md,完整精确控制和六锚点已执行；进入 B2/D 分支，未复活 range 符号规律。
v12,9,688,然后做 6 个 asymmetric anchors,已有证据完成,P02/P03,research/final_v12/exact_grid3; research/final_v12/freeze/SCIENTIFIC_STOP.md,完整精确控制和六锚点已执行；进入 B2/D 分支，未复活 range 符号规律。
v12,10,708,这里有两条分支,已有证据完成,P02/P03,research/final_v12/exact_grid3; research/final_v12/freeze/SCIENTIFIC_STOP.md,完整精确控制和六锚点已执行；进入 B2/D 分支，未复活 range 符号规律。
v12,11,750,为什么“双方同时 commitment”本来就可能没有单调符号,已有证据完成,P02/P03,research/final_v13/v12_freeze/V12_FROZEN_CONCLUSIONS.md,保留已执行的模型审计/数学基础；纠正无条件对称性及闭环退化推论。
v12,12,783,Phase D — 把 Commitment 重构成“Value of Flexibility”,已有证据完成,P02/P03,research/final_v13/v12_freeze/V12_FROZEN_CONCLUSIONS.md,保留已执行的模型审计/数学基础；纠正无条件对称性及闭环退化推论。
v12,13,824,Proposition A — Own flexibility cannot hurt,已有证据完成,P02/P03,research/final_v13/v12_freeze/V12_FROZEN_CONCLUSIONS.md,保留已执行的模型审计/数学基础；纠正无条件对称性及闭环退化推论。
v12,14,851,Proposition B — Opponent flexibility cannot help Blue,已有证据完成,P02/P03,research/final_v13/v12_freeze/V12_FROZEN_CONCLUSIONS.md,保留已执行的模型审计/数学基础；纠正无条件对称性及闭环退化推论。
v12,15,878,Proposition C — Bilateral commitment decomposition,已有证据完成,P02/P03,research/final_v13/v12_freeze/V12_FROZEN_CONCLUSIONS.md,保留已执行的模型审计/数学基础；纠正无条件对称性及闭环退化推论。
v12,16,944,Proposition D — Symmetric game cancellation,已有证据完成,P02/P03,research/final_v13/v12_freeze/V12_FROZEN_CONCLUSIONS.md,保留已执行的模型审计/数学基础；纠正无条件对称性及闭环退化推论。
v12,17,964,新的真正研究问题,已有证据完成,P02/P03,research/final_v12/flexibility; research/final_v12/freeze/SCIENTIFIC_STOP.md,检验完成且失败：开发2/6支持、冻结1/12支持；相关非负性和代数分解保留。
v12,18,990,新的主 comparative static,已有证据完成,P02/P03,research/final_v12/flexibility; research/final_v12/freeze/SCIENTIFIC_STOP.md,检验完成且失败：开发2/6支持、冻结1/12支持；相关非负性和代数分解保留。
v12,19,1024,为什么需要 asymmetric information-structure game,已有证据完成,P02/P03,research/formation/sequence_v12.py; research/final_v13/v12_freeze/V12_FROZEN_CONCLUSIONS.md,旧端点求解与目标回归已完成；任意日程扩展由 v14 P04 承接。
v12,20,1049,Phase E — Exact Extensive-Form Solver,已有证据完成,P02/P03,research/formation/sequence_v12.py; research/final_v13/v12_freeze/V12_FROZEN_CONCLUSIONS.md,旧端点求解与目标回归已完成；任意日程扩展由 v14 P04 承接。
v12,21,1081,Sequence-form 实现要点,已有证据完成,P02/P03,research/formation/sequence_v12.py; research/final_v13/v12_freeze/V12_FROZEN_CONCLUSIONS.md,旧端点求解与目标回归已完成；任意日程扩展由 v14 P04 承接。
v12,22,1103,Sequence-form Unit Tests,已有证据完成,P02/P03,research/formation/sequence_v12.py; research/final_v13/v12_freeze/V12_FROZEN_CONCLUSIONS.md,旧端点求解与目标回归已完成；任意日程扩展由 v14 P04 承接。
v12,23,1159,Exact flexibility experiment — Discovery set,已有证据完成,P02/P03,research/final_v12/flexibility; research/final_v12/freeze/SCIENTIFIC_STOP.md,检验完成且失败：开发2/6支持、冻结1/12支持；相关非负性和代数分解保留。
v12,24,1186,Confirmatory held-out grid,已有证据完成,P02/P03,research/final_v12/flexibility; research/final_v12/freeze/SCIENTIFIC_STOP.md,检验完成且失败：开发2/6支持、冻结1/12支持；相关非负性和代数分解保留。
