experiment_id,track,hypothesis,status,commit,start_time,end_time,machine,seed_group,dataset_or_scenario,method,baseline,primary_metric,secondary_metrics,predeclared_threshold,result,pass_fail,artifact_path,notes
P0-GIT-001,-,working tree can be audited without touching the user's work,done,7ab8ac4acdf029e6ea14346d568c3f509abd9390,2026-09-18,2026-09-18,macOS 26.3 arm64 (10 cpu),n/a,n/a,git status/branch/rev-parse; new branch research/m0-validation,n/a,working tree clean at start; no reset/clean used,,tree must not be overwritten,PASS,PASS,research/m0/AUDIT.md,M0_RESEARCH_PLAN.md was absent; plan supplied as attachment and landed in repo root
P0-AUDIT-002,-,sealed/pending orders exist as real state,done,7ab8ac4acdf029e6ea14346d568c3f509abd9390,2026-09-18,2026-09-18,macOS 26.3 arm64,n/a,engine source,source inspection of engine.py/models.py/api.py,plan's expectation,"sealed_orders exists, observe() does not expose it, phase window exists",,"must be verified in code, not docs","CONFIRMED (engine.py:1712 write, 1718 read, 966 side-filtered view; observe() excludes it)",PASS,research/m0/AUDIT.md,structurally matches IBS MOVEMENT_PLANNING->TORPEDO_PLANNING window
P0-BASE-003,-,run_match is deterministic and scenarios terminate,done,7ab8ac4acdf029e6ea14346d568c3f509abd9390,2026-09-18,2026-09-18,macOS 26.3 arm64 (10 cpu),"seeds=1,7",IBS-S-01/02/03/14/EM-01,run_match twice per config; compare turns/score/n_events/digest,n/a,identical-config repeat matched,wall time per match,must match exactly,determinism PASS; S-01/S-03/EM-01 terminate; S-02/S-14 not playable; mean 9.7s max 35.1s,PASS,research/m0/logs/p0_baseline.json,digest uses salted hash(); only valid within a process
P0-THRU-004,-,throughput scales with workers,done,7ab8ac4acdf029e6ea14346d568c3f509abd9390,2026-09-18,2026-09-18,macOS 26.3 arm64 (10 cpu),seeds 1000..1019,IBS-S-01,"ProcessPoolExecutor(max_workers=20), 20 matches",single-core 5.2 s/match,matches per second,speed-up vs serial,n/a,"0.37 matches/s, 1.9x speed-up on 10 cores, 0 errors",NOTE,research/m0/logs/p0_baseline.json,pool oversubscribed; 20000 matches ~ 15h
P1-LAB-005,A/B/D,a tiny sealed-commitment game can be solved exactly and independently,done,7ab8ac4acdf029e6ea14346d568c3f509abd9390,2026-09-18,2026-09-18,macOS 26.3 arm64,n/a (deterministic),synthetic exact games,belief-space DP vs exhaustive policy enumeration (two independent solvers),brute-force trajectory evaluation,max |DP - reference|,dynamics check vs direct simulation,agreement to 1e-12,17/17 tests pass; DP == reference to 1e-12 on all tiny specs,PASS,research/m0/exact_lab/tests/test_exact_lab.py,policy enumeration is exponential; cross-validation restricted to T=2-3
A0-CENSUS-006,A,replanning value is state-dependent and learnable,done,7ab8ac4acdf029e6ea14346d568c3f509abd9390,2026-09-18,2026-09-18,macOS 26.3 arm64,grid seed 11,74 exact discovery games,exact Delta = V_replan - V_continue at every reachable decision node,periodic / random-K schedules; oracle top-K,Delta distribution + retention at fixed saving,zero-span game fraction; within-snapshot Delta spread,saving>=30% and retention>=95%; A_WEAK if >90% near-zero or >25% zero-span or >40% trivial-schedule pass,"mean Delta 0.849, median 0.0, 55.1% near-zero, 28/74 zero-span, trivial pass 23.9%",A_WEAK,research/m0/results/A0_summary.json,A_WEAK
B0-CENSUS-007,B,hidden pending commitments cause public-state aliasing,done,7ab8ac4acdf029e6ea14346d568c3f509abd9390,2026-09-18,2026-09-18,macOS 26.3 arm64,grid seed 11,72 sealed games + 2 controls,"reached-node census grouped by snapshot; V-gap, action disagreement, snapshot-policy regret","Markov control (K=1) and negative control (opponent-blind payoff, K=3)",fraction of sealed games with strictly positive snapshot regret,"action-disagreement rate, max V gap, max Delta gap",B_WEAK if sealed <= controls or no mixed-belief cells,regret>0 in 18/72; controls 0.0 everywhere; max V-gap 0.0 in all sealed games,PASS_TO_DISCOVERY,research/m0/results/B0_summary.json,value-spread metric gives a FALSE NEGATIVE; regret metric is the correct one
C0-SAMPLING-008,C,certificate-directed sampling cuts simulator calls,NOT RUN,7ab8ac4acdf029e6ea14346d568c3f509abd9390,,,,,,,,,,>=40% sample reduction,not run,NOT_RUN,,"no payoff matrix, no CI, no comparison produced"
D0-ZOO-009,D,strategic tests can identify a reasoning defect type,NOT RUN,7ab8ac4acdf029e6ea14346d568c3f509abd9390,,,,,,,,,,>=2x query efficiency or >=20pp accuracy,not run,NOT_RUN,,zoo and query-efficiency protocol not implemented
SELF-TESTS-010,all,the lab is correct before any science uses it,done,7ab8ac4acdf029e6ea14346d568c3f509abd9390,2026-09-18,2026-09-18,macOS 26.3 arm64,n/a,exact_lab tests,pytest research/m0/exact_lab/tests,n/a,tests passed,,all must pass,17 passed / 0 failed,PASS,research/m0/logs/exact_lab_tests.txt,
REPO-TESTS-011,-,repo regression suite is green at this commit,running/incomplete,7ab8ac4acdf029e6ea14346d568c3f509abd9390,2026-09-18,,macOS 26.3 arm64,n/a,tests/ (53 files),pytest tests/ -q,n/a,pass/fail counts,,n/a,"INCOMPLETE - >68% seen, 1 failure early, summary not produced",UNKNOWN,research/m0/logs/p0_tests.txt,"recorded as an open item, NOT as a pass"
C0-CERT-012,C,certificate machinery is statistically correct before use,done,research/m0-validation (uncommitted batch),2026-09-18,2026-09-18,macOS 26.3 arm64,n/a,synthetic normal-form games,Hoeffding+union CI; LP maximin; regret matching,analytic game values,"coverage of true value by [v_L,v_U]",monotonicity properties,coverage >= 1-alpha; known-value agreement,6/6 tests pass: matching pennies/saddle values exact; coverage 300/300 seeds; widening never shrinks width; NOTE certificate width is NOT trajectory-monotone (Hoeffding intervals not nested),PASS,research/m0/c0_psro/tests/test_certs.py,a test asserting trajectory monotonicity was itself wrong and fixed (recorded in FAILURES)
C0-CALIB-013,C,real IBS payoff distributions can be calibrated within budget,done (S-03) / running (S-01),research/m0-validation,2026-09-18,2026-09-18,macOS 26.3 arm64 (12 workers),S-03: 20000+; S-01: 40000+,"IBS-S-03, IBS-S-01; 6 strategies (balanced,torpedo,cautious,line,adaptive,brawl) x both sides","run_match tactical vs tactical, 30 matches/cell (pilot rule: TIME_ESTIMATE 8.3 min <= 75 min -> 30)",n/a,win/draw/loss counts per cell (axis view),"throughput, failures",within 20k match budget,"S-03: 1080/1080 ok, 0 failures, 13.8 min, 1.31 matches/s, draw rate 0.000 (always a winner); matrix has strategic spread (means -0.93..+0.73). S-01: see follow-up row",PASS (S-03),research/m0/results/c0_calibration_IBS-S-03.json,'random' profile excluded: seeding unverified in P0
D0-ZOO-009,D,strategic tests can identify a reasoning defect type,done,research/m0-validation,2026-09-18,2026-09-18,macOS 26.3 arm64,random x5 seeds; others deterministic,684 exact decision nodes over 74 discovery games,5-type defect zoo (OPT/MYO/NOM/NBU/AMB); random/hardest/disagreement/infogain selection,random test selection,defect types identifiable; tests to 90% posterior,inseparable pairs,>=4 defect types identifiable AND (>=2x efficiency or >=20pp at budget 5),"MYO==OPT and NBU==NOM on ALL 684 tests -> 1/4 defect types identifiable; AMB identifiable (random median 23-27, disagreement 11 => 2.3x); infogain identified NOBODY (greedy dead-ends on inseparable pairs)",D_FAIL,research/m0/results/D0_summary.json,COMMITMENT-FORGETFUL dropped pre-run: weak dominance of replan makes it identical to OPT (F4)
D0-PROBE-014,D,POST_HOC: a setup-family rescues separability,done,research/m0-validation,2026-09-18,2026-09-18,macOS 26.3 arm64,n/a,60 setup-family nodes,"new payoff family (final-turn payoff on opponent accumulated action), monkey-patched",pre-declared pool,inseparable pairs,,POST_HOC - does not count toward the gate,family fully degenerate: all 5 types identical on all 60 tests; rescue failed,POST_HOC_NEGATIVE,research/m0/results/D0_posthoc_probe.json,"labelled POST_HOC in code, results and report"
C0-CALIB-015,C,S-01 calibrates within budget,done,research/m0-validation,2026-09-18,2026-09-18,macOS 26.3 arm64 (12 workers),40000+,"IBS-S-01, 6 strategies, 30/cell",same as C0-CALIB-013,n/a,win/draw/loss per cell,throughput,within budget,"1080/1080 ok, 0 failures, 31.9 min, 0.564 matches/s, draw rate 0.419, all means +0.27..+0.73 (axis-favoured)",PASS,research/m0/results/c0_calibration_IBS-S-01.json,total IBS matches used: 78+2160=2238 of 20000
C0-SIM-016,C,certificate-directed sampling cuts matches-to-threshold >=40% on both scenarios,done,research/m0-validation,2026-09-18,2026-09-18,macOS 26.3 arm64,"11,22,33,44,55",calibrated S-03 and S-01 meta-games,"uniform/largest_width/variance_aware/support_weighted/cert_sensitivity; target width 0.20, alpha 0.05, batch 25, budget 90k",uniform,median matches to certificate width <= 0.20,reached fraction per seed,PASS: >=40% saving BOTH scenarios; SMALL: 10-40% or inconsistent; FAIL: <10% or never reached (coded branch),"S-03: cert 15,350 (71% saving, 4/5) vs uniform 53,025; S-01: cert 0/5 reached, uniform 52,750; support_weighted 0/5 on both; largest_width ~uniform; variance_aware +19%/+11%",FAIL,research/m0/results/C0_summary.json,GATE CONFLICT FLAGGED: textual pre-declaration says 'inconsistent across scenarios -> C_SMALL_EFFECT' but coded branch maps never-reached to FAIL before the inconsistency clause; verdict NOT re-coded after seeing results; PI to adjudicate
C0-FIX-017,C,n/a (engineering fix before any result was used),done,research/m0-validation,2026-09-18,2026-09-18,macOS 26.3 arm64,n/a,c0_psro.certs,bug fix,n/a,n/a,,n/a,"fixed: (1) uniform round-robin keyed by batch index (previously sampled only half the cells); (2) cert_sensitivity unsampled-cell deadlock: pseudo-count trial still clamped to the full interval, so unsampled cells were never picked and width pinned at 2.0; now unsampled cells are taken first. Both found by running the experiment and reading the logs; both fixed BEFORE any result entered the report; tests re-run green after the fix",FIXED,research/m0/c0_psro/certs.py,recorded per discipline: failures and fixes are part of the evidence
